B-adults, 0.21 , 0.33 , 0.26 
B-date, 0.43 , 0.38 , 0.40 
B-date_from, 0.36 , 0.40 , 0.38 
B-date_period, 0.12 , 0.22 , 0.15 
B-date_to, 0.15 , 0.18 , 0.17 
B-kids, 0.00 , 0.00 , 0.00 
B-number, 0.00 , 0.00 , 0.00 
B-people, 0.25 , 0.25 , 0.25 
B-person_name, 0.00 , 0.00 , 0.00 
B-rooms, 0.00 , 0.00 , 0.00 
B-time, 0.33 , 0.17 , 0.22 
B-time_from, 0.00 , 0.00 , 0.00 
B-time_period, 0.00 , 0.00 , 0.00 
I-adults, 1.00 , 0.25 , 0.40 
I-date, 0.00 , 0.00 , 0.00 
I-date_from, 0.33 , 0.07 , 0.11 
I-date_period, 0.60 , 0.67 , 0.63 
I-date_to, 0.00 , 0.00 , 0.00 
I-kids, 0.00 , 0.00 , 0.00 
I-number, 0.00 , 0.00 , 0.00 
I-people, 0.00 , 0.00 , 0.00 
I-person_name, 0.00 , 0.00 , 0.00 
I-rooms, 0.75 , 0.25 , 0.38 
I-time, 0.44 , 0.36 , 0.40 
I-time_from, 0.00 , 0.00 , 0.00 
I-time_period, 1.00 , 0.33 , 0.50 
micro, 0.31 , 0.22 , 0.26 
macro, 0.23 , 0.15 , 0.16 
weighted, 0.32 , 0.22 , 0.24 
